studied_course,Background,interested,Hours_Study,Study_Materials,Practical_Work,Alone_Study,Hours_Sleep,Soc_Activ,stressed_anx,Exp_GPA,Calc_GPA
Organic Chemistry,Languages,5,5,Notes,,Yes,5,Fishing,No,3,4
English,Mathematics,10,8,Notes:Books-Recommended:Internet Resources(Videos Articles),Yes,Yes,0,Fishing:Friend Circle in the University:Modelling:Sports,No,3,4
Genetics,History,5,4,Lecture Slides:Notes:Books-Out Of Course:Internet Resources(Videos Articles),No,No,9,Sports:Programming:Modelling:Volunteering Work:Fishing,No,2,1
Latin,Mathematics,8,4,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Notes,Yes,No,7,Volunteering Work:Modelling:Friend Circle in the University:Programming,No,1,3
Biochemistry,Chemistry,0,7,Books-Recommended,,Yes,10+,Fishing:Programming,Yes,2,3.5
Organic Chemistry,Chemistry,6,10+,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles),,No,8,Programming:Fishing,Yes,1,3
Functional Programming,Mathematics,5,7,Lecture Slides:Notes,,Yes,1,Sports:Programming:Volunteering Work:Friend Circle in the University:Modelling:Fishing,Yes,2,1.5
English,History,7,2,Books-Out Of Course:Notes:Internet Resources(Videos Articles),,Yes,7,Modelling:Fishing:Sports:Programming:Volunteering Work:Friend Circle in the University,Yes,4,4
Functional Programming,Chemistry,6,2,Notes:Books-Recommended:Lecture Slides:Books-Out Of Course,,No,2,Volunteering Work:Fishing:Programming:Modelling:Friend Circle in the University:Sports,No,1,2
Databases,Chemistry,3,4,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,,No,9,Friend Circle in the University:Fishing:Volunteering Work:Programming:Sports:Modelling,Yes,2,1.5
Genetics,Languages,8,3,Notes:Books-Out Of Course:Lecture Slides,Prefer not to Say,Yes,0,Programming:Friend Circle in the University:Modelling:Volunteering Work:Sports,No,3,1
Probability and Statistics,Mathematics,10,4,Books-Recommended,Yes,Yes,9,Friend Circle in the University,No,4,1
Mandarin,History,9,10+,Books-Out Of Course,,Yes,1,Volunteering Work:Modelling:Programming:Sports,No,4,3
Genetics,Languages,4,6,Notes:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,9,Volunteering Work:Programming,Yes,2,4
Databases,Biology,10,6,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,Yes,Yes,10+,Fishing:Sports,No,3,3
Biochemistry,Computer Science,1,5,Lecture Slides:Notes:Books-Out Of Course,Yes,No,10+,Modelling,No,3,3.5
Biochemistry,History,1,5,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,No,6,Friend Circle in the University:Sports:Programming,No,3,1
Latin,History,6,5,Books-Out Of Course:Notes,Prefer not to Say,Yes,9,Volunteering Work:Friend Circle in the University:Sports:Programming:Fishing,No,3,1.5
Probability and Statistics,History,1,4,Books-Out Of Course:Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended,,Yes,10+,Friend Circle in the University,No,3,3.5
Functional Programming,Mathematics,0,6,Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes,Yes,Yes,2,Sports:Fishing:Programming:Volunteering Work:Friend Circle in the University,Yes,3,1.5
Mandarin,Biology,6,7,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Lecture Slides,Prefer not to Say,Yes,10+,Programming,Yes,1,2.5
Mandarin,Computer Science,1,7,Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles),Yes,No,6,Programming:Volunteering Work:Sports:Modelling,No,1,3
Linear Algebra,Languages,5,0,Lecture Slides,,No,8,Friend Circle in the University:Sports:Programming:Volunteering Work,Yes,2,2.5
Databases,Mathematics,1,9,Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Notes:Books-Out Of Course,,No,8,Friend Circle in the University,No,2,3
Functional Programming,Mathematics,7,4,Books-Out Of Course,No,Yes,0,Modelling:Volunteering Work:Programming:Sports:Friend Circle in the University,No,2,3
Genetics,Chemistry,9,6,Lecture Slides:Notes:Internet Resources(Videos Articles),,No,3,Friend Circle in the University:Fishing:Volunteering Work:Modelling:Programming,No,1,3
Probability and Statistics,Languages,3,2,Books-Recommended,No,Yes,2,Friend Circle in the University:Sports:Volunteering Work,Yes,2,2
Probability and Statistics,History,2,0,Internet Resources(Videos Articles):Books-Recommended:Notes:Books-Out Of Course:Lecture Slides,Yes,No,2,Volunteering Work,Yes,3,2
Databases,History,10,3,Notes:Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended,Yes,Yes,5,Sports:Fishing:Modelling,Yes,4,1.5
English,Biology,6,10+,Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,No,Yes,9,Volunteering Work:Friend Circle in the University,Yes,2,2
Linear Algebra,Biology,4,5,Internet Resources(Videos Articles):Lecture Slides,Prefer not to Say,No,10+,Modelling:Friend Circle in the University:Volunteering Work:Fishing:Sports:Programming,Yes,4,2
English,Mathematics,3,4,Books-Out Of Course:Books-Recommended,Prefer not to Say,No,9,Programming:Friend Circle in the University:Fishing:Modelling:Volunteering Work:Sports,No,1,3
English,Biology,5,2,Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles),No,No,7,Volunteering Work:Modelling:Sports:Programming:Friend Circle in the University:Fishing,Yes,1,3
Databases,Biology,1,4,Books-Out Of Course:Notes,Yes,Yes,9,Programming:Modelling:Friend Circle in the University:Volunteering Work,No,3,2.5
Linear Algebra,Chemistry,2,8,Books-Recommended:Lecture Slides:Books-Out Of Course:Notes,Prefer not to Say,No,6,Volunteering Work,Yes,4,4
Databases,Languages,1,2,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Notes,Prefer not to Say,Yes,9,Volunteering Work:Friend Circle in the University:Sports:Fishing,No,3,2
Biochemistry,History,8,6,Internet Resources(Videos Articles),Yes,Yes,3,Programming:Sports:Volunteering Work:Modelling:Friend Circle in the University:Fishing,Yes,2,1
Probability and Statistics,Chemistry,6,9,Books-Recommended:Notes:Books-Out Of Course,,Yes,10+,Volunteering Work:Modelling:Friend Circle in the University:Sports:Fishing:Programming,No,4,1.5
Linear Algebra,Biology,8,0,Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides:Notes,No,No,9,Sports:Programming,Yes,1,1
Functional Programming,History,2,1,Internet Resources(Videos Articles):Lecture Slides:Notes:Books-Recommended,Yes,Yes,3,Modelling:Programming:Friend Circle in the University:Volunteering Work,Yes,1,1.5
Databases,Computer Science,6,8,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,Prefer not to Say,No,0,Fishing:Programming:Sports:Modelling:Volunteering Work,Yes,1,2.5
Databases,Biology,3,10+,Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),Yes,No,0,Programming:Modelling:Friend Circle in the University:Fishing,Yes,3,2.5
Probability and Statistics,Mathematics,0,5,Notes:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,1,Sports:Friend Circle in the University:Volunteering Work,Yes,3,1.5
Biochemistry,Languages,9,2,Lecture Slides,Yes,Yes,3,Volunteering Work:Modelling:Programming:Sports:Fishing,Yes,4,2.5
Organic Chemistry,Languages,9,3,Internet Resources(Videos Articles),,No,10+,Volunteering Work:Modelling,Yes,3,2.5
Probability and Statistics,Mathematics,0,1,Books-Recommended:Notes:Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,No,3,Programming:Friend Circle in the University,Yes,1,1.5
Linear Algebra,Biology,6,9,Internet Resources(Videos Articles):Notes:Books-Out Of Course:Books-Recommended,,No,10+,Friend Circle in the University:Modelling:Volunteering Work:Sports:Fishing:Programming,Yes,2,1
Probability and Statistics,Languages,6,0,Lecture Slides:Notes:Internet Resources(Videos Articles):Books-Recommended:Books-Out Of Course,No,No,1,Sports:Modelling:Programming:Fishing:Friend Circle in the University:Volunteering Work,Yes,4,1
Organic Chemistry,Mathematics,0,2,Lecture Slides,Prefer not to Say,No,10+,Sports:Friend Circle in the University:Fishing:Modelling:Volunteering Work:Programming,Yes,2,3
Organic Chemistry,Computer Science,7,1,Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),No,No,6,Volunteering Work:Modelling:Friend Circle in the University:Fishing,No,3,3.5
Probability and Statistics,Mathematics,5,9,Lecture Slides:Books-Recommended:Notes:Books-Out Of Course,Prefer not to Say,No,1,Modelling,No,4,1.5
English,Biology,6,5,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),,No,10+,Programming:Modelling:Sports:Fishing:Friend Circle in the University:Volunteering Work,Yes,2,2.5
Mandarin,Mathematics,10,7,Books-Recommended,,No,2,Volunteering Work:Modelling:Fishing:Sports:Programming:Friend Circle in the University,No,4,2
Biochemistry,Computer Science,6,1,Notes:Books-Out Of Course:Books-Recommended:Lecture Slides,,No,7,Programming:Fishing:Friend Circle in the University:Sports:Volunteering Work,Yes,4,3.5
Linear Algebra,History,2,7,Notes:Books-Out Of Course:Internet Resources(Videos Articles),Yes,No,1,Volunteering Work:Friend Circle in the University:Sports:Programming:Fishing,No,4,1.5
Organic Chemistry,Languages,1,10+,Books-Out Of Course:Lecture Slides:Internet Resources(Videos Articles),No,Yes,6,Modelling:Sports:Programming:Volunteering Work:Fishing,Yes,2,4
Mandarin,Languages,4,2,Books-Out Of Course:Lecture Slides,No,No,8,Programming:Fishing:Volunteering Work,No,1,3.5
Organic Chemistry,Computer Science,4,10+,Books-Recommended:Notes:Internet Resources(Videos Articles):Lecture Slides,Yes,Yes,6,Modelling:Friend Circle in the University:Fishing:Volunteering Work:Sports:Programming,Yes,4,1.5
Probability and Statistics,Computer Science,9,4,Notes:Lecture Slides:Internet Resources(Videos Articles):Books-Out Of Course,,Yes,6,Friend Circle in the University:Fishing,No,1,2
Probability and Statistics,Chemistry,1,3,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended:Lecture Slides,,Yes,9,Modelling:Programming,Yes,3,3.5
Biochemistry,Mathematics,2,6,Internet Resources(Videos Articles),No,Yes,4,Modelling:Programming:Volunteering Work:Fishing,No,1,3.5
Mandarin,History,4,9,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended,No,Yes,8,Sports,No,4,1
Databases,Chemistry,4,0,Books-Out Of Course:Notes:Lecture Slides,Yes,Yes,9,Friend Circle in the University:Modelling,Yes,2,3
Genetics,Mathematics,10,7,Lecture Slides,,Yes,3,Modelling:Volunteering Work,No,1,2
Databases,Computer Science,4,1,Notes:Lecture Slides,No,No,5,Friend Circle in the University:Fishing:Modelling:Sports,No,1,3
Functional Programming,Biology,7,4,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),,Yes,4,Sports:Volunteering Work:Fishing:Programming:Modelling,Yes,4,1.5
English,Chemistry,2,7,Internet Resources(Videos Articles):Books-Out Of Course:Books-Recommended,No,Yes,2,Modelling:Friend Circle in the University:Volunteering Work:Programming:Sports:Fishing,No,4,4
Probability and Statistics,Languages,1,8,Internet Resources(Videos Articles):Books-Out Of Course:Lecture Slides,,No,9,Volunteering Work:Modelling:Programming:Fishing,Yes,1,2
Functional Programming,Computer Science,6,3,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,Yes,2,Volunteering Work,No,3,1
Functional Programming,Computer Science,1,9,Notes:Books-Out Of Course:Lecture Slides,Prefer not to Say,No,9,Modelling:Fishing:Friend Circle in the University:Sports,No,4,2.5
Mandarin,Chemistry,0,10+,Books-Recommended:Internet Resources(Videos Articles):Lecture Slides:Books-Out Of Course:Notes,,Yes,9,Volunteering Work:Modelling:Fishing:Programming,No,2,3.5
English,Languages,7,6,Lecture Slides:Notes:Books-Recommended:Internet Resources(Videos Articles),,No,7,Sports:Friend Circle in the University:Modelling:Programming,Yes,4,1
Databases,Mathematics,0,6,Books-Recommended:Lecture Slides:Internet Resources(Videos Articles):Notes,,No,3,Friend Circle in the University:Fishing,Yes,2,2.5
English,History,10,1,Books-Recommended:Lecture Slides:Notes,No,Yes,10+,Volunteering Work:Friend Circle in the University:Programming:Sports:Modelling,Yes,3,4
Databases,Computer Science,8,9,Books-Out Of Course:Lecture Slides:Notes,Yes,No,8,Fishing:Volunteering Work:Sports:Programming:Modelling:Friend Circle in the University,No,3,1
Genetics,Mathematics,8,2,Books-Out Of Course,,No,6,Sports:Fishing,No,4,3.5
English,Computer Science,1,0,Books-Out Of Course:Lecture Slides:Books-Recommended:Notes,,Yes,9,Fishing:Volunteering Work,No,4,3.5
Probability and Statistics,Chemistry,0,10+,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides,No,Yes,10+,Programming:Fishing:Friend Circle in the University:Modelling,Yes,1,3
Functional Programming,Chemistry,10,8,Books-Recommended:Internet Resources(Videos Articles):Notes:Lecture Slides,Prefer not to Say,No,6,Sports,Yes,2,3
Mandarin,Biology,5,5,Books-Out Of Course:Internet Resources(Videos Articles):Lecture Slides:Books-Recommended:Notes,No,Yes,2,Friend Circle in the University,Yes,1,1.5
Probability and Statistics,Biology,7,8,Books-Out Of Course:Notes:Internet Resources(Videos Articles):Lecture Slides,No,No,2,Modelling:Sports:Programming:Volunteering Work,Yes,3,1.5
Functional Programming,Mathematics,7,10+,Lecture Slides:Internet Resources(Videos Articles):Books-Recommended:Notes,Yes,Yes,9,Volunteering Work:Friend Circle in the University:Programming:Sports,No,2,3.5
Biochemistry,Chemistry,6,3,Books-Out Of Course:Books-Recommended:Lecture Slides,Prefer not to Say,No,4,Fishing:Modelling:Programming:Volunteering Work:Friend Circle in the University:Sports,Yes,4,2
Latin,Languages,2,9,Internet Resources(Videos Articles):Books-Recommended:Notes:Lecture Slides,,Yes,3,Friend Circle in the University:Sports:Fishing,Yes,2,1
English,Mathematics,7,0,Books-Recommended:Books-Out Of Course:Lecture Slides,No,Yes,2,Modelling,Yes,3,1
Databases,Computer Science,9,6,Internet Resources(Videos Articles),Yes,No,8,Modelling:Programming:Sports,No,4,2
Mandarin,History,7,4,Notes:Lecture Slides:Books-Recommended:Internet Resources(Videos Articles):Books-Out Of Course,Prefer not to Say,Yes,4,Modelling:Volunteering Work:Fishing,No,4,3
Organic Chemistry,Languages,1,7,Books-Recommended,Prefer not to Say,No,4,Modelling:Friend Circle in the University:Fishing:Programming,No,4,2
Linear Algebra,History,5,10+,Lecture Slides:Books-Out Of Course:Internet Resources(Videos Articles):Notes:Books-Recommended,Prefer not to Say,Yes,1,Friend Circle in the University,Yes,1,2
Linear Algebra,Mathematics,3,5,Lecture Slides:Books-Recommended:Books-Out Of Course:Internet Resources(Videos Articles),Yes,Yes,8,Fishing,No,2,3.5
English,Computer Science,9,6,Books-Out Of Course:Lecture Slides:Notes:Books-Recommended:Internet Resources(Videos Articles),No,No,0,Sports:Modelling:Friend Circle in the University,Yes,2,2
Organic Chemistry,History,7,7,Internet Resources(Videos Articles):Notes,,Yes,8,Programming:Sports:Volunteering Work,Yes,3,2.5
Biochemistry,History,7,3,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),,No,9,Sports:Friend Circle in the University:Volunteering Work:Programming:Fishing,Yes,2,3
Probability and Statistics,Mathematics,8,10+,Lecture Slides:Internet Resources(Videos Articles):Notes,Yes,No,6,Sports:Modelling:Friend Circle in the University:Fishing:Volunteering Work:Programming,Yes,3,3
Genetics,Languages,0,2,Books-Out Of Course:Books-Recommended:Notes:Lecture Slides:Internet Resources(Videos Articles),No,No,6,Volunteering Work:Fishing:Programming:Modelling,Yes,3,3
Biochemistry,Chemistry,5,3,Books-Recommended:Lecture Slides:Notes:Books-Out Of Course,,Yes,5,Modelling:Volunteering Work:Sports,No,4,2.5
Latin,Computer Science,8,0,Internet Resources(Videos Articles):Notes:Books-Recommended,,Yes,10+,Friend Circle in the University:Modelling:Programming:Sports:Volunteering Work,No,1,2.5
Mandarin,Biology,0,2,Books-Recommended:Notes:Lecture Slides:Books-Out Of Course,Yes,No,2,Sports:Volunteering Work:Fishing:Friend Circle in the University:Programming,No,3,2
Probability and Statistics,Languages,1,4,Books-Out Of Course:Internet Resources(Videos Articles):Books-Recommended:Lecture Slides,,No,2,Modelling,No,2,1.5
Functional Programming,Biology,9,3,Books-Out Of Course:Notes,,Yes,3,Sports:Modelling:Programming:Fishing:Friend Circle in the University:Volunteering Work,No,2,2
Latin,Mathematics,2,7,Books-Out Of Course:Books-Recommended,Yes,Yes,7,Modelling:Programming:Fishing:Friend Circle in the University:Volunteering Work:Sports,Yes,1,4
Latin,Computer Science,2,9,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes:Internet Resources(Videos Articles),Yes,No,10+,Programming:Modelling:Friend Circle in the University:Volunteering Work,Yes,3,4
Linear Algebra,History,1,4,Notes:Books-Out Of Course:Lecture Slides,Yes,Yes,10+,Programming:Friend Circle in the University,No,2,2
Latin,Computer Science,4,0,Books-Out Of Course:Books-Recommended:Lecture Slides:Notes,Prefer not to Say,Yes,7,Fishing:Programming:Modelling:Friend Circle in the University:Sports:Volunteering Work,Yes,4,3.5
Databases,History,10,4,Lecture Slides:Books-Recommended:Notes:Internet Resources(Videos Articles),,No,4,Modelling:Fishing,Yes,4,2
Probability and Statistics,Biology,0,3,Internet Resources(Videos Articles):Notes,,Yes,8,Fishing,Yes,4,1.5
English,Biology,1,1,Notes,Yes,No,4,Programming:Volunteering Work:Fishing,Yes,1,2.5
Probability and Statistics,Mathematics,9,9,Notes:Books-Out Of Course:Books-Recommended:Lecture Slides,Yes,Yes,10+,Modelling:Fishing:Sports:Friend Circle in the University,No,3,1.5
